name,description,creationTime
Manchester Terrier,Saepe rerum debitis aut facilis mollitia. Voluptatem illum vel quos et qui totam aut. Ut corporis consequatur dolorum non tempore nihil ad excepturi. Et in soluta impedit omnis quo.,1601637173733
Teddy Roosevelt Terrier,Enim itaque inventore minus quisquam error voluptas illum fuga natus. A quasi sequi. Atque eius impedit dolorem consequatur est corrupti non explicabo animi. Est neque ut. Omnis ad doloremque aut. Ducimus vero molestiae quo tenetur non cum doloremque.,1613326894895
Phu Quoc Ridgeback,Eligendi ipsam voluptatem dolorum. Ut iure sit nisi accusantium animi aperiam voluptatem. Architecto corporis facere ea veritatis corrupti dicta ab ut.,1584636811805
Cursinu,Earum ut voluptatibus quam ea iste. Odit ut doloribus fugit tempora aut voluptas voluptas. Quo voluptas et quae.,1599705694107
Rat Terrier,Optio voluptas delectus odio ipsam ut sapiente ducimus. Dolorem quod rerum adipisci rerum error veniam.,1595172873388
Pumi,Corporis reprehenderit perferendis architecto. Fugiat fugiat aut necessitatibus accusamus dolores nulla et. Porro doloremque unde temporibus quaerat vero. Cumque adipisci omnis labore laborum neque corrupti eaque.,1606436525723
Large Münsterländer,Molestias et voluptate. Voluptatem in voluptatibus culpa sit quaerat. Qui aliquid molestias sed quo voluptatem dolores quidem totam. In amet dolores soluta earum eum. Nihil provident debitis quo illum dolorem voluptate quam dolores iure.,1594045086122
Chien Français Blanc et Orange,Dolorem nihil sint voluptate aut. Dolores quia similique commodi ipsam ducimus amet voluptatem. Velit totam aut est sint dolore porro consequatur nobis. Animi assumenda voluptas praesentium et. Ad fuga deleniti ipsam tenetur recusandae voluptatem dolorem. Nihil sit molestiae voluptas dolores fuga ad vero accusantium et.,1585619033078
Croatian Sheepdog,Dolorum occaecati nostrum accusamus ipsam ut aliquam rem eveniet. Sed assumenda aut quisquam facere fugiat quasi dolor veritatis. Excepturi nobis alias tenetur repellendus et magni soluta tempore sint. Et earum quas itaque vel sit repudiandae placeat sed. Autem est ipsum provident voluptas vel. In iste enim nihil unde rem veniam et aliquid nihil.,1617149371972
Sporting Lucas Terrier,Enim tempora voluptates porro excepturi. Porro eveniet ut debitis id qui ipsam.,1618464573736
