name,description,creationTime
Sardinian Shepherd Dog,Id vitae omnis ullam et delectus velit non recusandae. Rerum quidem quo voluptatem nulla voluptatem reprehenderit unde qui architecto. Eligendi libero facilis.,1610226676706
Cretan Hound,Inventore est eius numquam enim non. Perspiciatis consequatur non natus sit maxime. Est temporibus nulla. Recusandae vel exercitationem sint eos velit quo nisi. Est pariatur eveniet. Laudantium facere neque fugit itaque aut.,1616994250039
Braque Saint-Germain,Molestiae sed possimus explicabo ex dolores id assumenda maiores. Saepe aliquam id. Distinctio facilis quibusdam voluptatem similique id ullam porro inventore. Debitis laboriosam velit adipisci similique.,1589519978049
Cão Fila de São Miguel,Quis nihil ratione eius dolores. Error et veniam similique doloremque occaecati facilis corporis. Sint ipsam expedita non.,1602896928219
Tyrolean Hound,Quia aperiam consectetur facere quia iste in. Vel dolore quas eius cumque provident sed aut odit. Nobis voluptatem non et eum occaecati voluptates.,1606997433450
Pembroke Welsh Corgi,Et omnis dolore corporis voluptatem. Qui rerum sunt sapiente. Dolores exercitationem quae praesentium iure nihil voluptatem odio quis omnis. Eum et ducimus et consequatur recusandae est molestiae doloremque eum.,1612541775802
Austrian Black and Tan Hound,Qui voluptatem voluptatem animi quasi. Sed excepturi quae rerum aut placeat. Aut illo qui maxime. Non odio quas. Porro eos quo facere unde qui modi officia exercitationem. Velit corrupti quis recusandae blanditiis numquam.,1593658482981
Transylvanian Hound,Eos ullam est veritatis molestiae rerum. Omnis dicta sint dolor facilis debitis.,1608166917242
French Spaniel,Amet molestiae dolore dolor sunt consequatur saepe odit dolorem unde. Fuga enim sit beatae temporibus. Necessitatibus quibusdam natus consequuntur omnis quos ad quos. Est odio ut alias est sit ut quia corrupti.,1596873908920
Treeing Walker Coonhound,Debitis aliquid nihil exercitationem consequatur eos. Autem ut et tenetur velit labore dolores quisquam nihil ipsa. Nobis temporibus id est ea possimus. Qui voluptas sed.,1616043096178
Parson Russell Terrier,Est velit accusamus impedit velit minus officia et. Quis qui ut in.,1600653732893
American Bulldog,Odit magnam culpa ipsa. Laudantium in iusto qui maiores. At est provident. Aut recusandae voluptatem excepturi aut id omnis velit. Aperiam alias qui. Voluptatem fugiat ut et aut beatae quas.,1591453119903
Rottweiler,Cupiditate mollitia ullam delectus laborum excepturi repellendus et molestias distinctio. Id culpa praesentium optio necessitatibus et. Neque maxime minus corrupti ratione dolor. Est sint voluptates. Molestiae facere aliquid eaque quibusdam.,1602052447167
